Wavl[A],Elm,Ion,Elow[eV],UnBrCalDep
4246.16,Cr,1,4.44,0.189
4246.4,Ce,2,0.893,0.026
4246.41,Cr,2,3.854,0.048
4246.57,Gd,2,1.134,0.025
4246.6,Fe,1,3.43,0.038
4246.71,V,1,1.711,0.044
4246.71,Ce,2,0.265,0.243
4246.82,Sc,2,0.315,0.955
4246.89,Nd,2,0.064,0.034
4247.15,Fe,1,4.143,0.031
4247.29,Fe,1,3.635,0.026
4247.31,Fe,1,2.453,0.758
4247.34,Dy,2,1.571,0.027
4247.37,Nd,2,0,0.644
4247.43,Fe,1,3.3683,0.925
4247.45,Ce,2,0.417,0.037
4247.64,Pr,2,0.055,0.127
4247.91,Fe,1,4.435,0.447
4247.93,Fe,1,4.446,0.035
4248.09,Ce,2,1.274,0.197
4248.22,Fe,1,3.0713,0.886
4248.33,Cr,1,3.011,0.23
4248.4,Fe,1,1.011,0.272
4248.67,Ce,2,0.684,0.329
4248.74,Cr,1,3.113,0.033
4248.81,V,2,1.675,0.045
4249.08,Pr,2,0,0.025
4249.11,Ti,1,2.297,0.038
4249.2,Fe,1,4.387,0.076
4249.32,Fe,1,2.424,0.698
4249.48,Pr,2,0.372,0.023
4249.54,Sm,2,0.333,0.039
4249.58,Fe,1,2.559,0.084
4249.71,Cr,1,3.826,0.066
4249.84,Cr,1,3.104,0.456
4249.98,La,2,1.946,0.022
4250.12,Fe,1,2.4688,0.959
4250.15,Fe,1,4.415,0.024
4250.19,Fe,1,2.404,0.106
4250.34,Th,2,0.557,0.248
4250.35,Pr,2,1.339,0.024
4250.54,Mn,1,4.345,0.033
4250.57,Ti,1,2.318,0.456
4250.79,Fe,1,1.5574,0.972
4250.89,Fe,1,3.071,0.872
4251.38,Cr,1,2.872,0.051
4251.44,Pr,2,1.298,0.022
4251.49,Cr,1,3.013,0.094
4251.49,Fe,2,2.342,0.024
4251.5,Fe,1,3.695,0.16
4251.6,Ti,1,1.879,0.217
4251.72,Mn,2,6.185,0.043
4251.73,Gd,2,0.382,0.246
4251.75,Ti,1,2.305,0.039
4251.78,Sm,2,0.378,0.041
4251.86,Ce,2,0.536,0.028
4251.94,Er,2,2.1,0.021
4252.02,Ni,1,3.743,0.124
4252.06,Fe,1,4.218,0.156
4252.09,Ti,2,2.048,0.062
4252.2,Cr,1,3.839,0.111
4252.23,Cr,1,3.013,0.36
4252.29,Co,1,0.101,0.575
4252.4,Cr,1,3.817,0.058
4252.49,Fe,1,4.076,0.041
4252.52,Na,1,2.104,0.032
4252.63,Cr,2,3.858,0.426
4252.96,Mn,2,6.186,0.037
4253.23,Ti,1,3.104,0.04
4253.36,Gd,2,0.556,0.104
4253.36,Ce,2,0.464,0.178
4253.54,Fe,1,4.593,0.609
4253.6,Gd,2,1.127,0.09
4253.86,Cr,1,3.011,0.04
4253.87,Nd,2,1.294,0.029
4253.93,Fe,1,3.64,0.657
4254.06,Co,1,3.622,0.054
4254.2,Cr,1,3.011,0.075
4254.34,Cr,1,0,0.966
4254.39,Fe,1,3.237,0.387
4254.4,V,2,1.679,0.444
4254.4,Pr,2,0.63,0.071
4254.52,Cr,2,5.871,0.081
4254.9,Ce,2,1.244,0.031
4254.94,Fe,1,3.018,0.688
4254.96,Fe,1,3.017,0.03
4254.99,Cr,1,3.01,0.035
4255.22,Co,1,3.629,0.073
4255.36,Ce,2,0.601,0.045
