Wavl[A],Elm,Ion,Elow[eV],BrCalDep,CalBlending[%]
5031.02,Sc,2,1.357,0.6526,3.091
5031.91,Fe,1,4.371,0.2667,3.001
5032.73,Ni,1,3.898,0.1708,5.58
5036.46,Ti,1,1.443,0.6232,1.898
5039.96,Ti,1,0.021,0.683,0.502
5042.19,Ni,1,3.658,0.5591,1.262
5043.58,Ti,1,0.836,0.1875,4.215
5048.44,Fe,1,3.96,0.615,0.441
5052.14,C,1,7.685,0.1908,3.768
5054.64,Fe,1,3.64,0.4299,5.181
5058.5,Fe,1,3.642,0.1083,6.523
5064.65,Ti,1,0.048,0.7045,3.69
5067.15,Fe,1,4.22,0.5542,0.667
5072.08,Fe,1,4.283,0.6172,0.667
5072.67,Fe,1,4.22,0.5958,0.667
5079.22,Fe,1,2.198,0.7536,1.437
5083.34,Fe,1,0.958,0.8239,0.418
5084.1,Ni,1,3.679,0.6674,0.28
5087.42,Y,2,1.084,0.5324,1.436
5088.15,Fe,1,4.154,0.3146,5.862
5088.54,Ni,1,3.847,0.3681,3.964
5102.97,Ni,1,1.676,0.5354,3.964
5109.65,Fe,1,4.301,0.5268,1.913
5115.39,Ni,1,3.834,0.6278,0.167
5123.72,Fe,1,1.011,0.8018,2.264
5127.36,Fe,1,0.915,0.781,3.128
5131.47,Fe,1,2.223,0.6711,1.588
5131.77,Ni,1,3.699,0.4833,3.507
5137.07,Ni,1,1.676,0.7072,0.874
5137.38,Fe,1,4.178,0.6898,0.646
5143.72,Fe,1,2.198,0.279,4.836
5145.09,Fe,1,2.198,0.5893,2.485
5147.48,Ti,1,0,0.3877,3.227
5151.91,Fe,1,1.011,0.7538,3.117
5152.18,Ti,1,0.021,0.3745,2.379
5155.13,Ni,1,3.898,0.4848,3.205
5157.98,Ni,1,3.606,0.2281,6.028
5192.97,Ti,1,0.021,0.7037,1.698
5197.57,Fe,2,3.23,0.6646,0.552
5197.94,Fe,1,4.301,0.3073,1.906
5200.41,Y,2,0.992,0.4556,2.768
5211.53,Ti,2,2.59,0.3156,0.575
5217.92,Fe,1,3.64,0.4939,1.45
5219.7,Ti,1,0.021,0.2528,3.02
5221.75,Cr,1,3.375,0.308,3.02
5222.39,Fe,1,2.279,0.1893,4.28
5223.62,Ti,1,2.092,0.1431,3.215
5225.53,Fe,1,0.11,0.6548,0.678
5228.38,Fe,1,4.22,0.4789,2.195
5237.33,Cr,2,4.073,0.4768,2.884
5238.96,Cr,1,2.709,0.1972,0.562
5239.81,Sc,2,1.455,0.4802,0.525
5242.49,Fe,1,3.634,0.6789,0.084
5243.35,Cr,1,3.395,0.2054,2.744
5243.78,Fe,1,4.256,0.5168,2.456
5246.77,Cr,2,3.714,0.1467,1.916
5247.05,Fe,1,0.087,0.6158,0.154
5247.56,Cr,1,0.961,0.6829,0.099
5249.11,Fe,1,4.473,0.3,1.216
5250.21,Fe,1,0.121,0.6108,0.206
5250.65,Fe,1,2.198,0.7303,0.123
5253.02,Fe,1,2.279,0.1869,1.846
5260.39,Ca,1,2.521,0.3077,0.81
5264.8,Fe,2,3.23,0.4213,1.339
5267.27,Fe,1,4.371,0.2657,7.249
5272,Cr,1,3.449,0.2493,4.874
5275.75,Cr,1,2.889,0.5877,4.874
5279.88,Cr,2,4.073,0.2012,1.468
5284.1,Fe,2,2.891,0.5108,2.695
5285.13,Fe,1,4.435,0.209,1.865
5287.18,Cr,1,3.438,0.1164,6.733
5288.52,Fe,1,3.695,0.5453,2.884
5289.81,Y,2,1.033,0.0642,1.651
5292.6,Fe,1,4.991,0.4141,1.651
5294.55,Fe,1,3.64,0.1216,4.824
5295.31,Fe,1,4.415,0.2448,2.2
5295.78,Ti,1,1.067,0.1215,2.943
5296.69,Cr,1,0.983,0.7189,0.134
5300.74,Cr,1,0.983,0.575,0.467
5304.18,Cr,1,3.464,0.1557,1.901
5305.85,Cr,2,3.827,0.1459,0.601
5310.69,Cr,2,4.072,0.1311,1.24
5312.86,Cr,1,3.449,0.1959,0.781
5313.56,Cr,2,4.074,0.3411,0.163
5315.07,Fe,1,4.371,0.2337,3.749
5318.77,Cr,1,3.438,0.1633,2.072
5319.04,Fe,1,4.835,0.0759,2.072
5321.11,Fe,1,4.435,0.4314,1.079
5322.04,Fe,1,2.279,0.5789,1.005
5325.55,Fe,2,3.221,0.4122,1.644
5326.14,Fe,1,3.573,0.3835,3.938
5329.14,Cr,1,2.914,0.5702,2.054
5329.99,Fe,1,4.076,0.5149,1.164
5336.79,Ti,2,1.582,0.5993,0.124
5339.93,Fe,1,3.266,0.7661,0.188
5348.31,Cr,1,1.004,0.7374,0.102
5351.07,Ti,1,2.778,0.0872,2.101
5373.71,Fe,1,4.473,0.5438,0.975
5379.57,Fe,1,3.695,0.5314,0.39
5381.02,Ti,2,1.566,0.4836,2.735
5385.58,Fe,1,3.695,0.0869,4.703
5386.33,Fe,1,4.154,0.3101,2.167
5392.33,Ni,1,4.154,0.1244,2.167
5395.22,Fe,1,4.446,0.102,8.245
5398.28,Fe,1,4.446,0.5693,1.438
5399.47,Mn,1,3.853,0.254,1.675
5402.77,Y,2,1.839,0.2002,4.141
5406.77,Fe,1,4.371,0.2513,5.411
5409.13,Fe,1,4.371,0.4157,4.57
5414.07,Fe,2,3.221,0.2618,3.237
5417.03,Fe,1,4.415,0.2473,5.409
5418.77,Ti,2,1.582,0.4168,0.257
5421.85,Fe,1,4.549,0.1675,3.308
5425.25,Fe,2,3.199,0.3947,1.562
5435.86,Ni,1,1.986,0.4277,2.06
5436.3,Fe,1,4.387,0.3076,1.002
5441.34,Fe,1,4.313,0.2672,4.303
5461.55,Fe,1,4.446,0.1622,3.238
5462.49,Ni,1,3.847,0.397,3.72
5464.28,Fe,1,4.143,0.4161,1.61
5466.4,Fe,1,4.371,0.5844,0.812
5471.19,Ti,1,1.443,0.08,2.103
5473.16,Fe,1,4.191,0.1645,6.534
5473.9,Fe,1,4.154,0.6122,0.248
5474.22,Ti,1,1.46,0.1178,6.869
5483.1,Fe,1,4.154,0.4151,0.695
5487.15,Fe,1,4.415,0.3027,3.538
5488.98,Si,1,5.614,0.05,5.611
5490.15,Ti,1,1.46,0.2306,1.263
5490.69,Ti,2,1.566,0.3011,1.134
5491.83,Fe,1,4.186,0.1261,1.203
5492.86,Ti,2,1.582,0.0613,1.203
5494.46,Fe,1,4.076,0.2208,4.086
5494.88,Ni,1,4.105,0.1729,1.897
5502.07,Cr,2,4.168,0.1341,2.217
5514.53,Ti,1,1.443,0.3748,1.122
5516.48,Fe,1,3.547,0.0832,6.389
5517.07,Fe,1,4.209,0.1014,2.542
5517.53,Si,1,5.082,0.079,2.631
5522.45,Fe,1,4.209,0.3723,1.435
5526.79,Sc,2,1.768,0.6163,0.557
5534.84,Fe,2,3.245,0.4863,0.775
