#lambda(nm,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness
480.9052 | 20794.119 | Fe I  | 27166.820 - 47960.940 | 3d6.(5D).4s.4p.(3P*) z 5F*          | 4    | 3d7.(4F).5s e 3F                    | 4    | 0.459 | 3
480.9492 | 20792.218 | Fe I  | 26224.969 - 47017.188 | 3d7.(2D2).4s a 3D                   | 3    | 3d7.(4P).4p w 3D*                   | 3    | 0.274 | 0
481.1877 | 20781.913 | Zn I  | 32890.327 - 53672.240 | 3d10.4s.4p 3P*                      | 2    | 3d10.4s.5s 3S                       | 1    | 0.606 | 2
481.4458 | 20770.771 | Fe I  | 26406.465 - 47177.234 | 3d7.(2D2).4s a 3D                   | 1    | 3d7.(4P).4p u 5D*                   | 1    | 0.227 | 4
481.4838 | 20769.131 | Co I  | 25937.564 - 46706.765 | 3d7.(4F).4s.4p.(3P*) z 6G*          | 9/2  | 3d7.4S.(5F).5s e 6F                 | 7/2  | 0.389 | 0
482.4870 | 20725.947 | Mn I  | 18705.370 - 39431.310 | 3d5.(6S).4s.4p.(3P*) z 8P*          | 9/2  | 3d5.4s.(7S).5s e 8S                 | 7/2  | 0.813 | 3
483.0380 | 20702.305 | Ni I  | 28569.203 - 49271.540 | 3d9.(2D).4p 3P*                     | 2    | 3d9.(2D[5/2]).4d 2[5/2]             | 3    | 0.627 | 1
489.7806 | 20417.307 | Fe I  | 31322.613 - 51739.920 | 3d6.(5D).4s.4p.(3P*) z 3D*          | 3    | 3d6.(5D).4s (4D).5s e 3D            | 2    | 0.321 | 3
490.1486 | 20401.976 | Y II  |  8328.039 - 28730.010 | 4d2 a 3F                            | 3    | 4d.5p z 3D*                         | 2    | 0.506 | 3
491.0754 | 20363.473 | Fe I  | 31686.351 - 52049.823 | 3d6.(5D).4s.4p.(3P*) z 3D*          | 2    | 3d6.(5D).4s (4D).5s g 5D            | 2    | 0.534 | 1
491.1388 | 20360.845 | Fe I  | 27394.691 - 47755.537 | 3d6.(5D).4s.4p.(3P*) z 5F*          | 3    | 3d7.(4F).5s e 5F                    | 3    | 0.641 | 2
491.1696 | 20359.564 | Fe I  | 33801.572 - 54161.139 | 3d7.(4F).4p y 5D*                   | 2    | 3d7.(4F).4d f 5G                    | 3    | 0.590 | 3
491.1936 | 20358.574 | Fe I  | 34017.103 - 54375.677 | 3d7.(4F).4p y 5D*                   | 1    | 3d7.(4F).4d f 5G                    | 2    | 0.592 | 3
491.2566 | 20355.960 | Ti II | 25192.965 - 45548.927 | 3d.4s2 c 2D                         | 5/2  | 3d2.(3P).4p y 2P*                   | 3/2  | 0.428 | 2
491.3150 | 20353.539 | Fe I  | 31686.351 - 52039.892 | 3d6.(5D).4s.4p.(3P*) z 3D*          | 2    | 3d6.(5D).4s (4D).5s e 3D            | 1    | 0.373 | 1
491.3389 | 20352.550 | Ni I  | 30392.003 - 50744.552 | 3d8.(3F).4s.4p.(3P*) 5F*            | 1    | 3d8.4s.(4F).5s 5F                   | 1    | 0.424 | 2
491.4987 | 20345.934 | Ti I  | 15108.111 - 35454.052 | 3d3.(2G).4s a 3G                    | 3    | 3d3.(2G).4p y 3H*                   | 4    | 0.458 | 1
491.5345 | 20344.450 | Ni I  | 30192.251 - 50536.703 | 3d9.(2D).4p 3P*                     | 0    | 3d9.(2D[3/2]).4d 2[1/2]             | 1    | 0.489 | 0
491.8603 | 20330.978 | Fe I  | 33801.572 - 54132.551 | 3d7.(4F).4p y 5D*                   | 2    | 3d7.(4F).4d h 5D                    | 1    | 0.517 | 2
491.9730 | 20326.319 | Ni I  | 30979.749 - 51306.038 | 3d8.(3F).4s.4p.(3P*) 3G*            | 4    | 3d8.4s.(4F).5s 3F                   | 3    | 0.549 | 3
492.0075 | 20324.893 | Ni I  | 30392.003 - 50716.896 | 3d8.(3F).4s.4p.(3P) 5F1             | 1    | 3d9.(2D[3/2]).4d [3/2]1             | 1    | 0.353 | 4
492.4532 | 20306.498 | Fe I  | 38175.355 - 58481.855 | 3d7.(4F).4p y 3D*                   | 3    | 3d6.4s.(4D).4d s.4D.4d.5P           | 3    | 0.152 | 3
493.2175 | 20275.031 | Ni I  | 31031.020 - 51306.038 | 3d9.(2D).4p 1F3                     | 3    | 3d8.4s.(4F).5s 3F3                  | 3    | 0.182 | 1
493.7210 | 20254.354 | Ni I  | 31786.162 - 52040.523 | 3d8.(3F).4s.4p.(3P*) 3G*            | 3    | 3d8.4s.(4F).5s 3F                   | 2    | 0.513 | 1
493.7713 | 20252.290 | Cr I  | 25106.295 - 45358.584 | 3d4.4s2 a 3F                        | 3    | 3d5.(4G).4p z 3H*                   | 4    | 0.415 | 0
494.0192 | 20242.128 | Fe I  | 23192.500 - 43434.627 | 3d6.(5D).4s.4p.(3P*) z 7F*          | 2    | 3d6.(5D).4s (6D).5s e 7D            | 3    | 0.754 | 2
