#lambda(Å,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness

4500.398 | 22220.257 | Fe I  | 36686.176 - 58906.436 | 3d7.(4F).4p y 3F*                   | 4    | 4s.(4D).4d 3G                       | 4    | 0.456 | 2 

4492.660 | 22258.528 | Fe II | 23031.283 - 45289.825 | 3d6.(3F2).4s b 4F                   | 3/2  | 3d6.(5D).4p z 4F*                   | 3/2  | 0.629 | 2 
4503.480 | 22205.050 | Mn I  | 23549.200 - 45754.270 | 3d6.(5D).4s a 4D                    | 5/2  | 3d6.(5D).4p z 4D*                   | 7/2  | 0.557 | 1 

4493.938 | 22252.198 | Fe I  | 32133.991 - 54386.186 | 3d6.(5D).4s.4p.(3P*) z 3F*          | 2    | 3d7.(4F).4d g 5F                    | 1    | 0.386 | 3 
4500.398 | 22220.257 | Fe I  | 36686.176 - 58906.436 | 3d7.(4F).4p y 3F*                   | 4    | 4s.(4D).4d 3G                       | 4    | 0.456 | 2 

4493.938 | 22252.198 | Fe I  | 32133.991 - 54386.186 | 3d6.(5D).4s.4p.(3P*) z 3F*          | 2    | 3d7.(4F).4d g 5F                    | 1    | 0.386 | 3 
4503.480 | 22205.050 | Mn I  | 23549.200 - 45754.270 | 3d6.(5D).4s a 4D                    | 5/2  | 3d6.(5D).4p z 4D*                   | 7/2  | 0.557 | 1 

4493.938 | 22252.198 | Fe I  | 32133.991 - 54386.186 | 3d6.(5D).4s.4p.(3P*) z 3F*          | 2    | 3d7.(4F).4d g 5F                    | 1    | 0.386 | 3 
4503.854 | 22203.206 | Fe I  | 28819.954 - 51023.162 | 3d7.(2H).4s a 1H                    | 5    | 3d6.(3G).4s.4p.(3P*) x 3H*          | 6    | 0.311 | 3 

4500.398 | 22220.257 | Fe I  | 36686.176 - 58906.436 | 3d7.(4F).4p y 3F*                   | 4    | 4s.(4D).4d 3G                       | 4    | 0.456 | 2 
4503.480 | 22205.050 | Mn I  | 23549.200 - 45754.270 | 3d6.(5D).4s a 4D                    | 5/2  | 3d6.(5D).4p z 4D*                   | 7/2  | 0.557 | 1 

4500.398 | 22220.257 | Fe I  | 36686.176 - 58906.436 | 3d7.(4F).4p y 3F*                   | 4    | 4s.(4D).4d 3G                       | 4    | 0.456 | 2 
4503.854 | 22203.206 | Fe I  | 28819.954 - 51023.162 | 3d7.(2H).4s a 1H                    | 5    | 3d6.(3G).4s.4p.(3P*) x 3H*          | 6    | 0.311 | 3 

