Wavl[vac;nm],Elm,Ion,Elow[eV],UnBrCalDep,MeasNormDepth,GaussVelOffset[m/s]
455.8007,Nd,2,0.182,0.0640,0.0306,459.6
456.1998,V,1,1.95,0.3190,0.1123,-922.5
456.3009,Fe,1,4.559,0.0290,0.0547,-66.7
456.3909,Ti,1,0.021,0.2710,0.1231,-388.3
456.73,Mn,1,4.66,0.0980,0.0256,-522.4
456.748,Sm,2,0.333,0.1370,0.0854,1381.1
456.959,Ti,2,1.224,0.5480,0.2993,607.0
456.988,Fe,1,3.928,0.2670,0.1534,-193.4
457.0371,Fe,1,2.845,0.0430,0.0271,-1350.9
457.1301,Co,1,3.632,0.2030,0.0690,-696.4
457.5502,Fe,1,3.2112,0.6770,0.4057,-643.6
457.6002,Fe,1,2.279,0.7980,0.5808,-481.0
457.6392,Cr,1,3.369,0.2120,0.1088,-661.8
457.7623,Fe,2,2.844,0.7690,0.5840,-778.5
457.8053,Cr,1,3.079,0.0630,0.0242,-563.9
457.9603,Cr,1,3.85,0.1020,0.0649,-161.4
457.9833,Ca,1,2.5212,0.8080,0.6856,-166.0
458.4414,Fe,1,4.371,0.3890,0.1502,-730.2
458.4694,Ti,2,1.165,0.5150,0.3270,-398.9
458.6355,Cr,1,3.449,0.1560,0.0769,75.2
458.7655,V,1,0.04,0.7330,0.4205,-707.6
458.8415,Fe,1,3.5732,0.7720,0.5167,-475.9
458.9486,Cr,2,4.071,0.7320,0.5987,-405.8
459.2076,Fe,1,4.387,0.3760,0.3025,-630.0
459.2406,Ce,2,1.107,0.0530,0.0552,-1188.8
459.3097,Sm,2,0.185,0.0640,0.0305,1004.6
459.5407,V,1,0.0686,0.7140,0.4640,-691.1
459.5917,Co,1,3.632,0.1960,0.1173,-260.2
459.7858,Fe,1,3.237,0.0220,0.0630,-73.2
459.9408,Fe,1,3.283,0.8060,0.6564,-432.9
460.0028,Fe,1,3.654,0.2760,0.1622,-314.0
460.463,Fe,1,2.8451,0.3620,0.1891,-254.1
460.524,Fe,1,2.99,0.3390,0.2013,-852.5
460.585,Fe,1,4.473,0.6700,0.4199,-737.9
460.688,Fe,1,4.32,0.6870,0.4490,-794.5
460.8381,Fe,1,3.415,0.0770,0.0489,-171.3
461.0551,Ti,2,1.18,0.2360,0.1344,116.1
461.4222,Fe,1,4.446,0.1240,0.0841,1395.7
461.5002,Fe,1,4.608,0.0880,0.0793,-758.6
461.6023,Cr,1,3.369,0.0520,0.0690,-1051.6
461.6493,Fe,1,4.593,0.0390,0.0248,812.2
461.8563,Ti,1,1.749,0.8000,0.5900,-373.0
